,0
MinTemp,0.04873048483002833
MaxTemp,0.04980291342150523
Rainfall,0.0418978502816962
WindGustSpeed,0.053510372977023
WindSpeed9am,0.03747112532495687
WindSpeed3pm,0.04315560962757145
Humidity9am,0.07334692468203553
Humidity3pm,0.125657362206585
Pressure9am,0.06527238751892735
Pressure3pm,0.08186159055258661
Temp9am,0.05162712976986938
Temp3pm,0.052779722926859174
RainToday,0.01768457393034209
Location_Adelaide,0.0021246575811010846
Location_Albury,0.0015336309834295958
Location_AliceSprings,0.0005870875398066719
Location_BadgerysCreek,0.0016022302723394202
Location_Ballarat,0.0020429680022577253
Location_Bendigo,0.00149988885120131
Location_Brisbane,0.002029528425436114
Location_Cairns,0.0025442907987811214
Location_Canberra,0.0019327416493773724
Location_Cobar,0.001283284007690527
Location_CoffsHarbour,0.002634410833955666
Location_Dartmoor,0.0020787116592662666
Location_Darwin,0.0022987541718658385
Location_GoldCoast,0.002386728958901701
Location_Hobart,0.0023818701805418336
Location_Katherine,0.00014920928580668374
Location_Launceston,0.0023739294368306033
Location_Melbourne,0.0017205532457840627
Location_MelbourneAirport,0.002137455224925841
Location_Mildura,0.0011241430578361538
Location_Moree,0.001245633334483279
Location_MountGambier,0.002303359723364888
Location_MountGinini,0.0008641766758717468
Location_Nhil,0.0008739097791666883
Location_NorahHead,0.0035194306267723814
Location_NorfolkIsland,0.003186858512391485
Location_Nuriootpa,0.0018141902064300853
Location_PearceRAAF,0.001835266175868775
Location_Penrith,0.001239593066028648
Location_Perth,0.002051478612156843
Location_PerthAirport,0.002028199865967158
Location_Portland,0.0028330157565229224
Location_Richmond,0.0013843801708187567
Location_Sale,0.0019334286635319037
Location_SalmonGums,0.0018862229626787003
Location_Sydney,0.0022772875892705163
Location_SydneyAirport,0.002400793908918319
Location_Townsville,0.0034336040585447995
Location_Tuggeranong,0.0016427917921892773
Location_Uluru,0.00026454602997680906
Location_WaggaWagga,0.0015238867255901723
Location_Walpole,0.002370247377295962
Location_Watsonia,0.002078111433715337
Location_Williamtown,0.0018873717923574887
Location_Witchcliffe,0.0028043837738000637
Location_Wollongong,0.003130708148476207
Location_Woomera,0.0008685421242888096
WindGustDir_E,0.0029098574291494123
WindGustDir_ENE,0.002726198005553018
WindGustDir_ESE,0.002706151925178677
WindGustDir_N,0.0044581603848829815
WindGustDir_NE,0.0036843986649334652
WindGustDir_NNE,0.003376738569244576
WindGustDir_NNW,0.003475802287798273
WindGustDir_NW,0.003899748288943755
WindGustDir_S,0.003994410592134519
WindGustDir_SE,0.0035698507817464712
WindGustDir_SSE,0.0032199616255677616
WindGustDir_SSW,0.003732742445109372
WindGustDir_SW,0.0035659544038692532
WindGustDir_W,0.004191296877496118
WindGustDir_WNW,0.0037383179653131416
WindGustDir_WSW,0.003556260026595973
WindDir9am_E,0.0026568042513785916
WindDir9am_ENE,0.002891152273799314
WindDir9am_ESE,0.0023704515853159853
WindDir9am_N,0.004881108676572572
WindDir9am_NE,0.003245173601971905
WindDir9am_NNE,0.0037584798659382242
WindDir9am_NNW,0.0038982076825869287
WindDir9am_NW,0.003948128132857672
WindDir9am_S,0.0033816563516699395
WindDir9am_SE,0.002995147930633234
WindDir9am_SSE,0.003366315391939707
WindDir9am_SSW,0.0037033818130299888
WindDir9am_SW,0.0036917539774033183
WindDir9am_W,0.003998510937875091
WindDir9am_WNW,0.003630890930979178
WindDir9am_WSW,0.0033918907413695086
WindDir3pm_E,0.0027468731669558853
WindDir3pm_ENE,0.0027212767926387766
WindDir3pm_ESE,0.0027232227073441502
WindDir3pm_N,0.004254997154929092
WindDir3pm_NE,0.0035710335103908562
WindDir3pm_NNE,0.0030662149372060504
WindDir3pm_NNW,0.003527821396269583
WindDir3pm_NW,0.003915581597002276
WindDir3pm_S,0.0038601005019352637
WindDir3pm_SE,0.003397242701835097
WindDir3pm_SSE,0.003485285074855383
WindDir3pm_SSW,0.0030768073734009065
WindDir3pm_SW,0.0028423091398232154
WindDir3pm_W,0.003876257760911049
WindDir3pm_WNW,0.003994871837706476
WindDir3pm_WSW,0.003379658824358289
